"circle-rating--small","rating-circle-small","scale","name","name href","address","tablescraper-selected-row","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row 6"
"4","/10","Below average","Rohr (Fred H.) Elementary School","https://www.greatschools.org/california/chula-vista/5851-Rohr-Fred-H.-Elementary-School/","1540 Malta Avenue, Chula Vista, CA, 91911","Public district","K-6","295","18:1","Chula Vista Elementary School District"
"4","/10","Below average","Chula Vista Middle School","https://www.greatschools.org/california/chula-vista/6282-Chula-Vista-Middle-School/","415 5th Avenue, Chula Vista, CA, 91910","Public district","7-8","874","21:1","Sweetwater Union High School District"
"4","/10","Below average","Chula Vista Senior High School","https://www.greatschools.org/california/chula-vista/6283-Chula-Vista-Senior-High-School/","820 4th Avenue, Chula Vista, CA, 91911","Public district","9-12","2487","23:1","Sweetwater Union High School District"
"4","/10","Below average","Hilltop Middle School","https://www.greatschools.org/california/chula-vista/6286-Hilltop-Middle-School/","44 J Street, Chula Vista, CA, 91910","Public district","7-8","1004","20:1","Sweetwater Union High School District"
"3","/10","Below average","San Diego Virtual","https://www.greatschools.org/california/chula-vista/25265-San-Diego-Virtual/","296 H Street, Suite 200, Chula Vista, CA, 91910","Public charter","K-12","366","21:1","Mountain Empire Unified School District"
"3","/10","Below average","Sweetwater Secondary","https://www.greatschools.org/california/chula-vista/32716-Sweetwater-Secondary/","3252 Bonita Road, Chula Vista, CA, 91910","Public charter","7-12","230","37:1","Sbe - Sweetwater Secondary School District"
"1","/10","Below average","Maac Community Charter School","https://www.greatschools.org/california/chula-vista/12044-Maac-Community-Charter-School/","1385 Third Avenue, Chula Vista, CA, 91911","Public charter","9-12","201","21:1","Sweetwater Union High School District"
"","","Currently unrated","Options Secondary School","https://www.greatschools.org/california/chula-vista/11121-Options-Secondary-School/","467 Moss Street, Chula Vista, CA, 91911","Public district","7-12","111","15:1","Sweetwater Union High School District"
"","","Currently unrated","Alta Vista Academy","https://www.greatschools.org/california/chula-vista/14673-Alta-Vista-Academy/","730 Medical Center Court, Chula Vista, CA, 91911","Public district","7-12","24","3:1","Sweetwater Union High School District"
"","","Currently unrated","Diego Springs Academy","https://www.greatschools.org/california/chula-vista/31940-Diego-Springs-Academy/","310 Broadway, Chula Vista, CA, 91910","Public charter","K-12","2","2:1","Borrego Springs Unified School District"
"","","Currently unrated","Special Education Preschool","https://www.greatschools.org/california/chula-vista/32157-Special-Education-Preschool/","84 East J Street, Chula Vista, CA, 91910","Public district","Ungraded","N/A","N/A","Chula Vista Elementary School District"
"","","Currently unrated","Palomar High School","https://www.greatschools.org/california/chula-vista/6293-Palomar-High-School/","480 Palomar Street, Chula Vista, CA, 91911","Public district","7-12","265","11:1","Sweetwater Union High School District"
