"circle-rating--small","rating-circle-small","scale","name","address","tablescraper-selected-row 2","tablescraper-selected-row 3","tablescraper-selected-row 4","tablescraper-selected-row href","tablescraper-selected-row 6","tablescraper-selected-row href 2"
"9","/10","Above average","Sessions Elementary School","2150 Beryl Street, San Diego, CA, 92109","K-5","514","20:1","https://www.greatschools.org/california/san-diego/6236-Sessions-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Silver Gate Elementary School","1499 Venice Street, San Diego, CA, 92107","K-4","513","21:1","https://www.greatschools.org/california/san-diego/6238-Silver-Gate-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Sunset View Elementary School","4365 Hill Street, San Diego, CA, 92107","K-4","426","20:1","https://www.greatschools.org/california/san-diego/6241-Sunset-View-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","University City High School","6949 Genesee Avenue, San Diego, CA, 92122","9-12","1838","25:1","https://www.greatschools.org/california/san-diego/6248-University-City-High-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"9","/10","Above average","Vista Grande Elementary School","5606 Antigua Boulevard, San Diego, CA, 92124","K-5","385","22:1","https://www.greatschools.org/california/san-diego/6250-Vista-Grande-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Garfield Elementary School","4487 Oregon Street, San Diego, CA, 92116","K-5","227","16:1","https://www.greatschools.org/california/san-diego/11113-Garfield-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","San Diego International Studies School","1405 Park Boulevard, San Diego, CA, 92101","9-12","1239","28:1","https://www.greatschools.org/california/san-diego/14146-San-Diego-International-Studies-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Kearny SCT School","1954 Komet Way, San Diego, CA, 92111","9-12","356","24:1","https://www.greatschools.org/california/san-diego/14170-Kearny-SCT-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Kearny College Connections","1954 Komet Way, San Diego, CA, 92111","9-12","382","25:1","https://www.greatschools.org/california/san-diego/14172-Kearny-International-Business-School/#Reviews","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Kearny Eng Innov & Design","1954 Komet Way, San Diego, CA, 92111","9-12","322","20:1","https://www.greatschools.org/california/san-diego/14240-Kearny-Construction-Tech-School/#Reviews","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Oak Valley Middle School","16055 Winecreek Road, San Diego, CA, 92127","6-8","1504","26:1","https://www.greatschools.org/california/san-diego/14247-Oak-Valley-Middle-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"8","/10","Above average","High Tech High International School","2855 Farragut Road, San Diego, CA, 92106","9-12","391","13:1","https://www.greatschools.org/california/san-diego/14535-High-Tech-High-International-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Magnolia Science Academy San Diego","6525 Estrella Ave, San Diego, CA, 92120","6-8","404","21:1","https://www.greatschools.org/california/san-diego/14791-Magnolia-Science-Academy-San-Diego/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Sycamore Ridge School","5333 Old Carmel Valley Road, San Diego, CA, 92130","K-6","583","18:1","https://www.greatschools.org/california/san-diego/14994-Sycamore-Ridge-School/reviews/","Del Mar Union Elementary School District","https://www.greatschools.org/california/san-diego/del-mar-union-elementary-school-district/"
"8","/10","Above average","Monterey Ridge Elementary School","17117 4S Ranch Parkway, San Diego, CA, 92127","K-5","993","24:1","https://www.greatschools.org/california/san-diego/17065-Monterey-Ridge-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"8","/10","Above average","iHigh Virtual Academy","3939 Conde Street, San Diego, CA, 92110","9-12","45","4:1","https://www.greatschools.org/california/san-diego/25137-IHigh-Virtual-Academy/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","San Diego Global Vision Academy","3430 School Street, San Diego, CA, 92116","K-8","383","17:1","https://www.greatschools.org/california/san-diego/25254-San-Diego-Global-Vision-Academy/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Old Town Academy K-8 Charter","2120 San Diego Avenue, San Diego, CA, 92110","K-8","254","20:1","https://www.greatschools.org/california/san-diego/25643-Old-Town-Academy-K-8-Charter/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Design 39 Campus","17050 Del Sur Ridge Road, San Diego, CA, 92127","K-8","1134","24:1","https://www.greatschools.org/california/san-diego/31818-Design-39-Campus/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"8","/10","Above average","Bernardo Heights Middle School","12990 Paseo Lucido, San Diego, CA, 92128","6-8","1562","26:1","https://www.greatschools.org/california/san-diego/6027-Bernardo-Heights-Middle-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"8","/10","Above average","Highland Ranch Elementary School","14840 Waverly Downs Way, San Diego, CA, 92128","K-5","683","22:1","https://www.greatschools.org/california/san-diego/6033-Highland-Ranch-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"8","/10","Above average","Morning Creek Elementary School","10925 Morning Creek Drive South, San Diego, CA, 92128","K-5","746","24:1","https://www.greatschools.org/california/san-diego/6038-Morning-Creek-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"8","/10","Above average","Westwood Elementary School","17449 Matinal Road, San Diego, CA, 92127","K-5","820","23:1","https://www.greatschools.org/california/san-diego/6053-Westwood-Elementary-School/reviews/","Poway Unified School District","https://www.greatschools.org/california/san-diego/poway-unified-school-district/"
"8","/10","Above average","Alcott Elementary School","4680 Hidalgo Avenue, San Diego, CA, 92117","K-5","195","9:1","https://www.greatschools.org/california/san-diego/6094-Alcott-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Barnard Elementary School","2445 Fogg Street, San Diego, CA, 92109","K-6","515","19:1","https://www.greatschools.org/california/san-diego/6099-Barnard-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Benchley/Weinberger Elementary School","6269 Twin Lake Drive, San Diego, CA, 92119","K-5","562","22:1","https://www.greatschools.org/california/san-diego/6103-Benchley-Weinberger-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Birney Elementary School","4345 Campus Avenue, San Diego, CA, 92103","K-5","544","22:1","https://www.greatschools.org/california/san-diego/6106-Birney-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Cadman Elementary School","4370 Kamloop Avenue, San Diego, CA, 92117","K-5","191","20:1","https://www.greatschools.org/california/san-diego/6111-Cadman-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Challenger Middle School","10810 Parkdale Avenue, San Diego, CA, 92126","6-8","945","24:1","https://www.greatschools.org/california/san-diego/6115-Challenger-Middle-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Chesterton Elementary School","7335 Wheatley Street, San Diego, CA, 92111","K-5","453","21:1","https://www.greatschools.org/california/san-diego/6117-Chesterton-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Curie Elementary School","4080 Governor Drive, San Diego, CA, 92122","K-5","583","23:1","https://www.greatschools.org/california/san-diego/6126-Curie-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Dailard Elementary School","6425 Cibola Road, San Diego, CA, 92120","K-5","529","23:1","https://www.greatschools.org/california/san-diego/6127-Dailard-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Dewey Elementary School","3251 Rosecrans Street, San Diego, CA, 92110","K-4","377","19:1","https://www.greatschools.org/california/san-diego/6131-Dewey-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Florence Elementary School","3914 1st Avenue, San Diego, CA, 92103","K-5","236","17:1","https://www.greatschools.org/california/san-diego/6142-Florence-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Grant K-8","1425 Washington Place, San Diego, CA, 92103","K-8","721","21:1","https://www.greatschools.org/california/san-diego/6151-Grant-K-8/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Hancock Elementary School","3303 Taussig Street, San Diego, CA, 92124","K-5","611","23:1","https://www.greatschools.org/california/san-diego/6155-Hancock-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Hardy Elementary School","5420 Montezuma Road, San Diego, CA, 92115","K-5","344","23:1","https://www.greatschools.org/california/san-diego/6156-Hardy-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Hawthorne Elementary School","4750 Lehrer Drive, San Diego, CA, 92117","K-6","246","16:1","https://www.greatschools.org/california/san-diego/6157-Hawthorne-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Patrick Henry High School","6702 Wandermere Drive, San Diego, CA, 92120","9-12","2424","24:1","https://www.greatschools.org/california/san-diego/6159-Patrick-Henry-High-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Hickman Elementary School","10850 Montongo Street, San Diego, CA, 92126","K-5","430","22:1","https://www.greatschools.org/california/san-diego/6160-Hickman-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Lewis Middle School","5170 Greenbrier Avenue, San Diego, CA, 92120","6-8","1061","24:1","https://www.greatschools.org/california/san-diego/6184-Lewis-Middle-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Longfellow K-8","5055 July Street, San Diego, CA, 92110","K-8","714","23:1","https://www.greatschools.org/california/san-diego/6190-Longfellow-K-8/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Marshall Middle School","9700 Avenue of Nations, San Diego, CA, 92131","6-8","1485","24:1","https://www.greatschools.org/california/san-diego/6195-Marshall-Middle-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Nye Elementary School","981 Valencia Parkway, San Diego, CA, 92114","K-5","411","21:1","https://www.greatschools.org/california/san-diego/6212-Nye-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"8","/10","Above average","Tierrasanta Elementary School","5450 La Cuenta Drive, San Diego, CA, 92124","K-5","512","22:1","https://www.greatschools.org/california/san-diego/6243-Tierrasanta-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"7","/10","Above average","Ocean View Hills School","4919 Del Sol Boulevard, San Diego, CA, 92154","K-6","985","23:1","https://www.greatschools.org/california/san-diego/12043-Ocean-View-Hills-School/reviews/","San Ysidro Elementary School District","https://www.greatschools.org/california/san-diego/san-ysidro-elementary-school-district/"
"7","/10","Above average","High Tech High Media Arts School","2230 Truxtun Road Third Floor, San Diego, CA, 92106","9-12","391","14:1","https://www.greatschools.org/california/san-diego/13754-High-Tech-High-Media-Arts-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"7","/10","Above average","Normal Heights Elementary School","3750 Ward Road, San Diego, CA, 92116","K-5","319","17:1","https://www.greatschools.org/california/san-diego/16971-Normal-Heights-Elementary-School/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"7","/10","Above average","School for Entrepreneurship and Technology","3540 Aero Court, San Diego, CA, 92123","9-12","191","15:1","https://www.greatschools.org/california/san-diego/25267-School-For-Entrepreneurship-And-Technology/reviews/","San Diego Unified School District","https://www.greatschools.org/california/san-diego/san-diego-unified-school-district/"
"7","/10","Above average","Vista Del Mar","4885 Del Sol Boulevard, San Diego, CA, 92154","7-8","413","22:1","https://www.greatschools.org/california/san-diego/27081-Vista-Del-Mar/review/","San Ysidro Elementary School District","https://www.greatschools.org/california/san-diego/san-ysidro-elementary-school-district/"
"7","/10","Above average","Finney (Myrtle S.) Elementary School","3950 Byrd Street, San Diego, CA, 92154","K-6","386","18:1","https://www.greatschools.org/california/san-diego/5834-Finney-Myrtle-S.-Elementary-School/#Reviews","Chula Vista Elementary School District","https://www.greatschools.org/california/san-diego/chula-vista-elementary-school-district/"
